nome,cep,endereco,bairro,horario_missa_domingo,horario_missa_segunda,horario_missa_terca,horario_missa_quarta,horario_missa_quinta,horario_missa_sexta,horario_missa_sabado,horario_confissoes
"Paróquia Cristo Rei, Aldeota",60110-140,"Rua Nogueira Acioli, 805",Aldeota,6h30min | 9h | 11h |  17h  | 19h,17h,17h,17h,17h,17h,6h30min | 17h,
"Paróquia Divino Espírito Santo, Cidade 2000",60190-560,"Avenida Adenanteras, 175",Cidade Dois Mil,7h | 9h | 17h | 19h,,19h,,19h,,18h,"Terça-feira de 17h às 18h30, quinta-feira de 17h às 18h30 e na 1ª sexta-feira de 17h às 18h30."
"Igreja de Nossa Senhora do Patrocínio, Centro",60030-140,"Rua Guilherme Rocha, 536",Centro,,,,,,,,
"Paróquia de Nossa Senhora Aparecida, Praia do Futuro",60182-012,"Rua Professor Álvaro Costa, 257",Praia do Futuro,,,,,,,,
"Paróquia São José, Sapiranga",60.833-034,"Rua Crisanto Moreira da Rocha, 600",Sapiranga (Coité),7h | 17h | 19h , , ,, ,19h,,Quintas-feiras de 17h às 21h (Por ordem de chegada na Matriz).
"Paróquia São José, Lagoa Redonda",60831-600,"Avenida Recreio, 1815",Lagoa Redonda,7h  | 11h | 19h, , , , , ,  17h ,
"Paróquia São João Paulo II, Guajerú",60843-057,"Travessa Antônio Magalhães, 311",Guajerú,8h15 ,,,,19h ,19h ,19h ,
"Paróquia São José, Passaré",60861-790,"Avenida Pompílio Gomes, 300",Passaré,8h Celebração da Palavra | 17h Missa, , , , ,19h, ,
"Paróquia São Francisco Xavier, Conjunto Esperança",60763-730,"Avenida Contorno Norte, 979",Conjunto Esperança,7h  | 19h, , ,19h , ,19h ,17h,Quintas-feiras de 16h30 às 18h.
"Paróquia São Francisco de Assis, Mangabeira, Eusébio",61760-000,"Rua Coronel Ednardo Weyne, s/n",Mangabeira,7h | 19h, , , , ,19h, ,
"Paróquia São João Eudes, Conjunto Engenheiro Luciano Cavalcante",60810-480,"Rua José Guilherme da Costa, 60",Conjunto Engenheiro Luciano Cavalcante,7h | 12h | 19h,7h  ,7h | 18h30min,7h,7h | 19h,7h,19h,
"Paróquia São Francisco de Assis, Conjunto Palmeiras",60870-140,"Rua Modesta, 115 A",Conjunto Palmeiras,,,,,,,,Terças-feiras de 14 às 17h e sextas-feiras de 8h às 11h.
"Paróquia São Francisco de Assis, Dias Macedo",60860-012,"Avenida Alberto Craveiro, 900",Dias Macedo,7h | 19h, , ,19h,19h,19h,19h ,Quartas e sextas-feiras de 15h às 18h30min
"Paróquia São Diogo, Cajazeiras",60864-450,"Rua Maria Nogueira França, 5",Cajazeiras,,,,,19h,,,"Quintas-feiras das 17h às 18h, na Matriz."
"Paróquia Sant’Ana e São Joaquim, Centro, Eusébio",61760-000,"Avenida Parnamirim, s/n",Centro,7h | 9h | 12h | 17h | 19h,,,17h30min,,17h30min,17h,Quartas-feiras e sextas-feiras de 15h30 às 17h (por agendamento).
"Paróquia Santo Antônio de Pádua, Maraponga",60710-690,"Rua Lourenço Pessoa, 760",Maraponga,,,,,,,,Quarta-feira – 15h às 16h (Frei Valdir)
"Paróquia Santíssima Trindade, Conjunto Prefeito José Walter",60750-790,"Avenida C, 311 – II Etapa",Conjunto Prefeito José Walter,7h | 9h | 16h | 18h, ,19h ,19h ,19h ,19h ,18h   ,Terças-feiras a sextas-feiras de 15h às 17h. (por agendamento)
"Paróquia Sagrado Coração de Jesus e Santa Luzia, Pedras",60874-874,"Rua José Nogueira, 120",Pedras,17h30min, , , , ,, ,
"Paróquia Nossa Senhora do Sagrado Coração, Aerolândia",60851-280,"Rua Aspirante Mendes, 540",Aerolândia, 7h30min | 10h | 17h | 18h30min, ,18h,18h ,18h,18h ,18h,Terças-feiras e quintas-feiras de 16h às 17h45min.
"Paróquia Nossa Senhora do Perpétuo Socorro, Mondubim",60762-410,"Avenida Wenefrido Melo, 88 A",Mondubim,7h  |  19h, , , , ,19h, ,Quartas-feiras das 16h30 às 18h (padre Edmilson) e as sextas-feiras das 15h às 17h (padre Madson).
"Paróquia Nossa Senhora do Perpétuo Socorro, Conjunto Alto Alegre",60875-305,"Rua 10, 105",Conjunto Alto Alegre – São Bento,19h, ,18h30min,18h30min,19h,18h30min, ,
"Paróquia Nossa Senhora das Graças, Parque Santa Maria",60873-010,"Rua Maria Quintino, 650",Parque Santa Maria,7h  |  16h  |  19h, ,19h, , ,19h, ,Sextas-feiras de 16h às 18h.
"Paróquia Nossa Senhora das Graças, Manuel Sátiro",60713-480,"Rua Fernando Farias de Melo, 840",Manuel Sátiro, 8h  |  11h  |  19h, 19h, ,, ,, 19h,Segundas-feiras e quintas-feiras de 17h às 18h30min.
"Paróquia Nossa Senhora da Conceição, Messejana",60842-010,"Rua Coronel Joaquim Bezerra, 255",Messejana,7h | 17h | 19h, ,17h30min,17h30min ,17h30min,17h30min,,"Terças-feiras a sextas-feiras de 15h às 17h, na secretaria paroquial. (por agendamento)"
"Paróquia Nossa Senhora da Glória, Cidade dos Funcionários",60822-130,"Avenida Oliveira Paiva, 905",Cidade dos Funcionários,7h | 9h | 11h | 17h | 19h,6h30min | 18h30min,6h30min | 18h30min,6h30min | 18h30min,6h30min | 18h30min,6h30min | 18h30min,6h30min | 16h30min | 18h30min,
"Paróquia Mãe Santíssima, Parque Dois Irmãos,Histórico:",60743-218,"Rua Afonso Lopes, 1050",Parque Dois Irmãos,7h | 17h | 19h, ,19h (celebração da palavra) ,19h,19h, , ,
"Área Pastoral Nossa Senhora do Brasil, Seminário Seráfico, Messejana",60840-285,"Avenida Frei Cirilo, 4454",Messejana,8h | 9h30min | 16h30min | 18h30min,18h ,18h,18h ,18h,18h,16h30min | 18h30min,
"Paróquia Senhora Santana, Centro, Paramoti",62736-000,"Rua José Firmo de Aguiar, 340",Centro,8h | 18h, , , , , ,,
"Paróquia São Miguel Arcanjo, Itapebuçu, Maranguape",61988-000,"Rua José Cristóvão Araújo, 352",Distrito de Itapebuçu,8h | 19h, , , , , , ,
"Paróquia São Francisco das Chagas, Centro, Canindé",62700-000,"Rua Simão Barbosa, 1209",Centro,8h, , ,, , ,18h,
"Paróquia Santo Antônio, Centro, Caridade",62730-000,"Rua Doutor Plácido Pinho, 148",Centro,,,,,,,,"Quintas-feiras aos sábados de 9h às 11h, na Matriz."
"Paróquia Nossa Senhora das Dores, Campos Belos, Caridade",62730-000,"Rua Monsenhor Dantas,  470",Campos Belos,7h | 17h | 19h , , , ,19h, , ,
"Paróquia de São José, Bela Vista, Canindé",62700-000,"Avenida São José, 795",Bela Vista,7h | 11h | 19h , ,18h30min, ,18h30min, , ,Terças-feiras a sextas-feiras das 8h às 11h30min.
"Área Pastoral São Pedro, Alto Guaramiranga, Canindé",62700-000,"Rua J Pinto, s/n",Alto Guaramiranga,,,,,,,,
"Área Pastoral Santo Antônio de Pádua, Caiçara, Canindé",62700-000,"Avenida Santo Antônio, 750",Distrito de Caiçara,7h | 19h , , , , , , ,Marcar com o padre.
"Paróquia Nossa Senhora da Conceição, Centro, Cascavel",62850-000,"Rua Professor José Antônio de Queiroz, 1988",Centro,7h | 19h, , , ,18h30min, ,19h,"Terças-feiras e sextas-feiras de 8h às 12h, na secretaria paroquial. "
"Paróquia Jesus, Maria, José, Centro, Beberibe",62840-000,"Rua Sagrado Coração de Jesus, 15",Centro,7h | 19h, , , ,19h, ,19h ,"Quartas-feiras de 8h às 12h (secretaria paroquial),"
"Paróquia Bom Jesus dos Navegantes, Parajuru, Beberibe",62848-000,"Rua Coronel Aderaldo, s/n",Distrito de Parajuru,7h | 19h, , , ,19h , , ,Quintas-feiras de 8h às 11h e 14h às 18h.
"Área Pastoral São Pedro e São Paulo, Capim de Roça, Pindoretama",62860-000,"Avenida São Pedro, s/n",Capim de Roça,19h, , , ,19h ,, ,
"Paróquia São Vicente de Paulo, Tabapuá, Caucaia",61635-250,"Rua 8 C,  S/N",Tabapuá,7h | 17h | 19h,,,,19h,,,"Terças-feiras, das 16h às 17h, na Igreja Matriz.,1ª segunda, às 19h, Missa por cura e libertação, 1ª sexta, às 19h e dia 13, 12h."
"Paróquia São Miguel Arcanjo, Conjunto Novo São Miguel – Parque Albano, Caucaia",61645-180,"Rua Quintino Cunha, 1870",Parque Albano ,7h  |  19h, ,,19h,19h, , ,
"Paróquia São Luís Gonzaga, Pecém, São Gonçalo do Amarante",62670-000,"Rua São Luís Gonzaga, s/n",Distrito do Pecém,7h | 19h, , , , , , ,"Nas primeiras sextas-feiras de cada mês, de 9h às 11h30min e 14h às 18h30min."
"Paróquia São José Operário, Araturi, Caucaia",61655-040,"Avenida Central Oeste, 155",Araturi,7h | 9h30min | 19h, , , , ,19h30min ,,
"Paróquia São Gonçalo do Amarante, Centro, São Gonçalo do Amarante, ,Histórico:,Criação: 22/07/1940, por Dom Manuel da Silva Gomes.",62670-000,"Praça da Matriz, s/n",Centro, 8h | 19h, , ,18h , , , ,"Quartas-feiras e quintas-feiras de 8h30min às 11h30min, na secretaria paroquial."
"Paróquia São Geraldo Majella, Planalto Caucaia, Caucaia",61605-620,"Rua 100, s/n",Planalto Caucaia,7h | 9h | 17h  , ,18h ,18h,18h,18h ,19h ,
"Paróquia Santo Antônio, Capuan, Caucaia",61605-730,"Avenida Professora Letícia Marques Cavalcante, s/n – Praça da matriz",Capuan,6h30min | 19h, ,19h, ,19h, , ,"Quintas-feiras de 18h às 19h, na Igreja Matriz."
"Paróquia Sagrado Coração de Jesus, Conjunto Nova Metrópole, Caucaia",61658-050,"Avenida A, 760",Conjunto Nova Metrópole,7h | 17h | 19h,, ,, ,19h ,,"Sábados, de 8h às 12h, na Igreja Matriz."
"Paróquia Santa Teresinha do Menino Jesus, Conjunto Marechal Rondon, Caucaia",61652-390,"Rua Santa Teresinha, 441",Conjunto Marechal Rondon,8h | 17h, ,,,18h,18h,,
"Paróquia Nossa Senhora dos Prazeres, Centro, Caucaia",61600-020,"Rua Padre Romualdo, 71",Centro,6h | 8h | 17h | 19h, ,17h30min,17h30min,17h30min, ,19h,
"Paróquia Nossa Senhora do Carmo, Croatá, São Gonçalo do Amarante",62670-000,"Travessa Vereador José Evaldo, 31",Croatá,8h | 19h, , , ,19h , , ,"Quintas-feiras de 8h às 11h, na Igreja Matriz,"
"Paróquia Nossa Senhora das Graças, Parque Potira, Caucaia",61648-105,"Rua Jorge Guimarães de Almeida, 1386",Parque Potira,7h | 9h | 17h | 19h, , , ,19h , , ,"Terças-feiras e quartas-feiras de 9h às 11h de 15h às 17h, na Igreja Matriz e quintas-feiras de 19h às 20h, na Igreja Matriz."
"Paróquia Nossa Senhora das Graças e São Pedro, Tabuba, Caucaia",61618-350,"Rua Maria de Jesus, 235",Tabuba,8h | 10h | 17h | 19h, , , , , , ,Quintas-feiras das 14h às 20h (por agendamento) e aos domingos nos intervalos das missas.
"Paróquia Nossa Senhora da Imaculada Conceição, Taquara, Caucaia",61685-990,"Rodovia Raimundo Pessoa de Araújo, 4491","Distrito de Mirambé, Taquara", 7h | 19h, , , ,18h , , ,"Quintas-feiras de 15h às 17h, na Igreja Matriz."
